laadukas+	ei siellä mut ei , mut osuuspankissa on kaikki paremmin .
laadukas+	Sampo pankin ja Nordean kortit toimivat .
laadukas+	Muistan hyvin sen ajan kun meidän " kylässä " oli 4 pankkikonttoria ( KOP , SYP , Säästöpankki ja Osuuspankki ) ja hyvinhän niissä palvelu pelasi ja monet perheet tekivät töitä ja maksoivat asuntojensa lainat .
laadukas+	Osuuspankki nyt vielä menettelee , mutta nordea on perseestä .
laadukas+	Nordean asiakkaana pysyn , laskut voi maksaa netin kautta , ei ongelmaa !
laadukas+	Osuuspankki on hyvä paikka sijoittajalle , jos ei itse osaa osakekauppaa tehdä .
laadukas+	kaikki palvelut Osuuspankki on täyden palvelun pankki , eli siltä löytyy ihan kaikki kansainväliset palvelut ( toisin kuin eräiltä nimeltä mainitsemattomilta pankeilta ) .
laadukas+	Yksi ihan hyväksi koettu juttu on esim. Nordean e-possu
laadukas+	Kyllä Osuuspankissa Fire 7 toimii täysin .
laadukas+	Kyllä on Nordea on SEPA-maksuissa yhtä nopea kuin muutkin pankit .
laadukas+	halvalla , eikä Suomessa , shittilaatua joka tapauksessa , Nordea tuohi-kortti näyttää laadukkaalta .
laadukas+	Tosin avainasiakashenkilöni Nordealla oli tuolloin niin hyvä , etten olisi edes lähtenyt heti , jos olisin marginaalisesti paremman marginaalin saanutkin jostain muualta ...
laadukas+	Nordean verkkopankki on nopea ja helppo .
laadukas+	hyvä se on , vaihda kaikki mennyt aina tosi hyvin ja on ollut palvelu tosi hyvää ja ystävällistä , vaihda vaan osuuspankkin, et kadu .
laadukas+	Kiitos kannustavista yhteyden otoista tekstiini ja sekä kommenteista , kävin tänään Lieksan OP:ssa siis Osuuspankissa ja siellä otettiin asiani ymmärtäväisesti vastaan ja kun oli ne merkinnät siellä luottotiedoissa - merkkiset sanottiin että ei ole mikään este maksukortin ja pankkitunnusten saamiselle käännän vain palkkani OP:hen ja välittömästi kun näkyy että tililli tulee pallkka kerran kuussa saan käyttööni sellaisen kortin jota pyysin niin että tulkaa kaikki jotka haluatte hyvää ja laadukasta asiakaspalvelua pankkiasioissa Osuuspankkiin kontori on kulttuurikeskuksen talossa voin suositella lämpimästi siellä ei luokitella asiakasta A , B ja C luokkaan erittäin ystävällistä palvelua Paljon kiitoksia
laadukas+	Siirryin Sampo pankista Osuuspankin asiakkaaksi , ei pelkästään nettiongelmien takia , vaan sen takia , että Osuuspankki on kotimainenpankki .
laadukas+	On meriitti jos on työskennellyt Nordeassa vaikka niska limassa saa töitä painaakin
laadukas+	Joo ei mullakaan ole mitään valittamista Osuuspankista
laadukas+	Nordea on ihan hyvä pankki ja olen aina saanut hyvää palvelua .
laadukas+	Monet sanoo että Osuuspankki on paras pankki
laadukas+	Yksi parhaista ( Morningstarin mukaan ) on ollut Nordean Suomi indeksirahasto , joka seuraa OMXH Bench Cap - indeksiä .
laadukas+	Nordean ja osuuspankin välillä rahaliikenne liikkuu nopeasti nykyään ...
laadukas+	Toistaiseksi tosiasia on , että joissain kohdissa Nordean palvelut ovat monipuolisemmat kuin esim. S-pankin , ja se on sitten omista tarpeista kiinni että tarvitseeko niitä palveluita .
laadukas+	Paras Pankki on  Nordea !
laadukas+	Säästöpankit, Osuuspankit ja Paikallisosuuspankit ovat suositeltavia , koska ne ovat pieniä tai pienehköjä ja asioistaan saattaa päästä keskustelemaan sellaisen pankkilaisen kanssa jolla on päätösvaltaakin .
laadukas+	Nordean mobiilipankki sovelluksessa on tuo viivakoodi juttu ainakin Lumiassa on helppo scannata koodit laskuista , on kyllä safe
laadukas+	Nordea on hoitanut minun asiani moitteettomasti .
laadukas+	Petyin uudestaan , mutta sepä varmisti sen , ettei enää tartte muusta haaveilla kun Nordea hoitaa homman .
laadukas+	Kyllä ainakin  Nordea toimii moitteettomasti Operalla .
laadukas+	Osuuspankin johtaja on ehdottomasta paras ja ystävällisin asiakaspalvelija .
laadukas+	Olen nyt alkanut kallistua Nordean suuntaan , se vaikuttaa jotenkin hyvältä ...
laadukas+	Niin kyllä Nordeassa on ollut niin hyvä palvelu että kyllä en irti sano tiliä tuosta Pankista jätän sinne jonkin verran pahanpäivän varalle vaikka onistuisin saamaan op .
laadukas+	Parhaat kokemukset tähän mennessä paikallisesta Nordean konttorista .
laadukas+	Etukäteislyhennys todella onnistuu ainakin Nordeassa ja Osuuspankissa .
laadukas+	Sammossa olen joskus käynyt ( oli muuten hyvä käynti ) Nordeassakin oli hyvä juttu mutta Optian virkailija ei osannut vastata juuri mihinkään mun kysymyksistä .
laadukas+	Olen sinun kanssasi ihan sammaa mieltä Ei ole tavallisen ihmisen pankki porvareille ja suurpääoman omistajille sopii parhaiten mutta pittää kyllä kiittää Nordeaa yli 13 vuotta kestänestä asikaspalvelusta siinä ei ole kyllä moitittavaa sain asunnon Nordean kautta hyvillä laina ehdoilla eikä olut niin tarkkaa jos oli tiukkaa aina sai sovittua maksun niin että sen pystyy kivuttomasti hoitamaan PALJON KIITOKSIA JA RUUSUJA NORDEA PANKILLE
laadukas+	Ja mikä parasta , liityin silloin Kinnulassa Reisjärven Osuuspankin Kinnulan konttorin asiakkaaksi ja olen todella tyytyväinen , paras palvelu ja henkilökohtainen .
laadukas+	Toki alaa saa vaihtaa , mutta kuka nyt hyvästä duunista Nordeasta haluaa pois ?
laadukas+	Virheitä sattuu kaikille - myös pankkivirkailijoille ja asiakkaille - ja nyt täytyy kyllä kehua Nordean ystävällistä asiakaspalvelua ja nopeaa toimintaa !
laadukas+	Pankin valintaa kannattaa ajatella pitkemmällä jaksolla ja Osuuspankki on ehdottomasti hyvä vaihtoehto ihmiselle joka osaa hoitaa raha-asiansa .
laadukas+	Lisäksi antoivat erivaihtoehtoja nykyisten luottojen siirtoon OP:stä Nordealle
laadukas+	itse pohdin ja vertailin eri pankkeja viime kesänä ja totesin että Osuuspankki on minulle ylivoimaisesti paras pankki .
laadukas+	Minun kohdallani homma on pelannut juuri päinvastoin eli siirryin Op:sta pois ainaisten sössimisten vuoksi juurikin Nordeaan jossa homma on toiminut erinomaisesti .
laadukas+	Mä olen käyttänyt Nordean visa electronia , joka on kyllä toiminut .
laadukas+	En voi vähimmässäkään määrin moittia käyttämäni Nordean konttorin palvelua
laadukas+	Op on pop Osuuspankki on paras pankki !
laadukas+	Itse olen ollut jo 30 vuotta Osuuspankin asiakas ja päivääkään ei ole tarvinnut katua - kaikki on aina sujunut todella hienosti ja palvelu on ollut ensiluokkaista .
laadukas+	Vaihda kunnon täysveriseen pankkiin , vaikka Nordeaan mieluummin
neutraali	Nordean heikoiten menestyneellä rahastolla on onnistunut tekemään viidessä vuodessa noin 30% tappion ( vähän riippuu missä välissä ja miten niitä lyhennyksiä on sijoittanut ) .
neutraali	Maksuttoman rekisteröinnin voit tehdä kätevästi verkkopankissa kohdassa Kortit konttorissa tai soittamalla Nordea Asiakaspalveluun ja tunnistautumalla pankkitunnuksillasi .
neutraali	Yhtä hyvin kyllä tuntuu toimivan osuuspankki Windows 7 : lla kuin Windows 8 : llakin .
neutraali	Marssin naapurissa olevaan lähitapiolaan ja sain asiantuntevaa ja ystävällistä palvelua ja samalla vaihtui pankkikin Osuuspankista tapiola-pankkiin .
neutraali	Keuruun Osuuspankki ( ei kuulu OP-ryhmään ) on myös todella sujuvasti ja hyvin palveleva eikä rahasta .
neutraali	Korko on myös suurempi kun Nordealla
neutraali	Nordea pankin lakiosastolta ilmeisesti se järki löytyy .
